coppa di portogallo,2022/2023,portogallo,DELAY [60],,,,,,,04-06-2023 20:00,OK,16-06-2023 15:31,OK,04-06-2023 17:39,OK,,,true,false,22-11-2022 09:55,16-06-2023 15:34
world cup,2022,world,DELAY [60],,,,,,,03-01-2023 15:53,OK,03-01-2023 15:53,OK,18-12-2022 15:39,OK,,,true,false,22-11-2022 09:55,02-03-2023 10:57
serie a,2023/2024,italia,DELAY [60],https://www.oddsportal.com/soccer/italy/serie-a/,regular season - 33,,,verona - udinese,20-04-2024 20:45,20-04-2024 20:01,OK,20-04-2024 21:55,OK,20-04-2024 17:39,OK,20-04-2024 21:54,OK,false,false,28-10-2022 18:04,11-07-2024 16:12
ligue 1,2023/2024,francia,DELAY [60],https://www.oddsportal.com/soccer/france/ligue-1/,,,,,,02-06-2024 19:00,OK,11-07-2024 15:23,OK,02-06-2024 16:39,OK,11-07-2024 15:22,OK,false,false,22-11-2022 09:55,11-07-2024 16:12
bundesliga,2023/2024,germania,DELAY [60],https://www.oddsportal.com/soccer/germany/bundesliga/,,,,,,27-05-2024 22:30,OK,11-07-2024 16:00,OK,27-05-2024 20:09,OK,11-07-2024 16:07,OK,false,false,22-11-2022 09:55,11-07-2024 16:12
liga,2023/2024,spagna,DELAY [60],https://www.oddsportal.com/soccer/spain/laliga/,,,,,,26-05-2024 23:00,OK,11-07-2024 15:44,OK,26-05-2024 20:39,OK,11-07-2024 15:52,OK,false,false,22-11-2022 09:55,11-07-2024 16:12
pro league,2023/2024,belgio,DELAY [60],https://www.oddsportal.com/football/belgium/jupiler-pro-league/,,,,,,02-06-2024 15:30,OK,11-07-2024 16:11,OK,02-06-2024 13:09,OK,11-07-2024 15:26,OK,false,false,22-11-2022 09:55,11-07-2024 16:12
eredivisie,2023/2024,olanda,DELAY [60],https://www.oddsportal.com/football/netherlands/eredivisie/,,,,,,02-06-2024 20:00,OK,11-07-2024 15:55,OK,02-06-2024 17:39,OK,11-07-2024 15:59,OK,false,false,22-11-2022 09:55,11-07-2024 16:12
primeira liga,2023/2024,portogallo,DELAY [60],https://www.oddsportal.com/football/portugal/liga-portugal/,,,,,,02-06-2024 22:45,OK,11-07-2024 16:07,OK,02-06-2024 20:24,OK,11-07-2024 15:10,OK,false,false,22-11-2022 09:55,11-07-2024 16:12
champions league,2023/2024,europa,DELAY [60],https://www.oddsportal.com/football/europe/champions-league/,,,,,,01-06-2024 23:00,OK,11-07-2024 15:53,OK,01-06-2024 20:39,OK,11-07-2024 15:15,OK,true,false,22-11-2022 09:55,11-07-2024 16:12
conference league,2023/2024,europa,DELAY [60],https://www.oddsportal.com/football/europe/europa-conference-league/,,,,,,29-05-2024 23:00,OK,11-07-2024 15:23,OK,29-05-2024 20:39,OK,11-07-2024 13:06,OK,true,false,22-11-2022 09:55,11-07-2024 16:12
serie b,2023/2024,italia,DELAY [60],https://www.oddsportal.com/soccer/italy/serie-b/,,,,,,02-06-2024 22:30,OK,11-07-2024 15:13,OK,02-06-2024 20:09,OK,11-07-2024 15:23,OK,false,false,22-11-2022 09:55,11-07-2024 16:12
superlig,2023/2024,turchia,DELAY [60],https://www.oddsportal.com/football/turkey/super-lig/,,,,,,26-05-2024 21:00,OK,11-07-2024 16:12,OK,26-05-2024 20:59,OK,11-07-2024 14:45,OK,false,false,22-11-2022 09:55,11-07-2024 16:12
europa league,2023/2024,europa,DELAY [60],https://www.oddsportal.com/football/europe/europa-league/,,,,,,22-05-2024 23:00,OK,11-07-2024 15:37,OK,22-05-2024 20:39,OK,11-07-2024 14:13,OK,true,false,22-11-2022 09:55,11-07-2024 16:12
premier league,2024/2025,inghilterra,DELAY [60],https://www.oddsportal.com/soccer/england/premier-league/,regular season - 12,,,leicester - chelsea,23-11-2024 13:30,10-11-2024 19:30,OK,14-11-2024 10:51,OK,10-11-2024 20:00,OK,14-11-2024 11:15,OK,false,true,22-11-2022 09:55,14-11-2024 11:15
serie a,2024/2025,italia,DELAY [60],https://www.oddsportal.com/soccer/italy/serie-a/,regular season - 13,,,verona - inter,23-11-2024 15:00,10-11-2024 22:45,OK,14-11-2024 11:21,OK,10-11-2024 23:00,OK,14-11-2024 10:43,OK,false,true,28-10-2022 18:04,14-11-2024 11:21
ligue 1,2024/2025,francia,DELAY [60],https://www.oddsportal.com/soccer/france/ligue-1/,regular season - 12,,,monaco - stade brestois 29,22-11-2024 19:00,10-11-2024 22:45,OK,14-11-2024 10:45,OK,11-11-2024 01:45,OK,14-11-2024 10:24,OK,false,true,22-11-2022 09:55,14-11-2024 11:25
